,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature20,feature21,feature22,feature23,feature24,feature25,feature26,feature27,feature28,feature29,feature30,feature31,feature32,feature33,feature34,feature35,feature36,feature37,feature38,feature39,feature40,feature41,feature42,feature43,feature44,feature45,feature46,feature47,feature48,feature49,feature50,feature51,feature52,feature53,feature54,feature55,feature56,feature57,feature58,feature59,feature60,feature61,feature62,feature63,feature64,feature65,feature66
6,800.5,274.83,218.19,13.42,15.11,36.66,943.15,7.72,278.05,857.42,35.79,135.45,76.49,56.31,138.52,16.14,120.84,126.7,11.41,7.45,333.97,19.73,39.23,154.44,119.65,498.17,23.73,128.13,47.88,99.34,114.49,31.2,10384.7,4.3,50.76,20.34,138.88,19.45,4.48,3.18,35.77,10357.68,190.23,753.96,94.26,889.44,104.82,394.27,214.05,91.79,395.02,30.87,5.67,185.35,22.89,70.64,1042.39,1714.34,2640.41,24.93,207.48,455.59,341.64,104.9,200.41,150.75
7,2780.26,983.67,1154.29,34.72,8.1,57.86,3816.15,13.8,597.41,756.89,68.65,285.07,248.79,155.42,113.06,21.86,266.03,319.31,27.54,5.81,634.66,34.29,40.24,277.09,143.67,826.63,34.54,220.63,106.57,151.53,224.81,80.42,3465.54,29.5,74.54,70.1,249.14,27.2,9.6,10.23,70.17,26014.49,524.7,564.46,485.37,1200.93,177.48,463.0,242.94,216.04,830.78,53.68,7.6,649.48,33.75,232.78,1313.4,1697.59,3955.4,94.02,372.4,740.3,514.2,202.5,1385.74,461.3
8,4575.39,1139.23,2104.4,65.83,11.62,111.79,3187.94,29.72,638.89,908.73,138.6,437.59,333.23,144.46,171.74,37.05,225.51,399.16,64.05,20.85,641.91,54.1,110.46,410.45,296.11,2572.91,46.75,218.74,328.43,206.49,397.11,153.75,1046.37,34.17,134.44,89.44,401.41,46.63,17.23,19.58,64.9,52077.34,734.98,1307.61,1127.25,2654.42,291.11,562.1,431.26,478.22,1497.81,83.45,10.91,1251.2,41.59,179.32,1811.95,1359.39,3678.34,92.6,520.96,995.63,636.95,271.17,2957.44,505.82
9,3597.82,1118.8,1150.24,70.09,5.83,99.65,2553.45,19.87,492.86,724.17,152.28,343.01,308.98,121.43,164.31,27.32,193.26,367.71,55.98,20.91,543.39,42.88,77.88,361.01,252.52,2385.22,43.61,176.42,185.68,165.23,246.83,87.3,1022.59,32.06,113.54,79.41,377.04,46.76,12.96,19.63,63.97,44859.05,545.76,1619.37,799.53,2392.21,248.35,528.09,322.36,418.99,1119.79,68.67,10.03,994.41,39.26,162.79,1684.14,1264.65,3112.43,95.08,488.59,905.76,466.96,244.96,2513.05,412.28
10,4504.3,938.53,1405.8,72.58,14.46,87.42,2761.29,28.48,539.3,815.89,170.45,402.01,335.69,111.0,162.08,29.28,239.95,411.42,62.84,21.61,540.49,43.43,107.76,346.9,261.36,3144.49,31.38,233.83,234.27,165.07,273.78,120.88,1571.61,38.4,119.72,94.57,357.02,35.62,17.15,16.24,46.78,42161.25,458.69,2275.97,714.34,2072.58,282.69,712.3,366.6,377.45,1458.9,92.64,9.96,1212.07,41.4,161.56,1767.37,1381.06,3484.77,66.93,456.88,951.99,472.17,287.39,3244.69,449.0
11,4434.27,921.62,1089.3,53.33,5.21,72.46,2620.08,22.47,491.58,644.79,129.02,381.57,281.43,110.72,366.99,21.08,220.31,329.63,49.17,14.93,426.22,46.89,55.24,357.17,221.82,2755.22,33.88,230.09,188.97,139.28,195.59,104.11,2198.39,20.14,95.05,77.09,338.74,27.97,16.97,15.78,61.33,33007.74,386.29,1102.38,742.05,1566.29,266.13,693.88,410.59,305.66,1464.24,101.18,6.84,783.22,35.5,163.29,2041.77,1117.62,2729.74,62.79,500.23,754.06,397.71,327.0,2319.65,352.59
18,1102.31,578.79,325.83,39.01,3.15,53.37,720.0,10.64,316.04,1229.97,43.43,230.0,156.1,71.93,109.69,17.1,181.05,222.71,19.19,12.1,392.42,15.31,70.13,237.26,128.55,954.47,18.74,175.34,54.33,92.44,184.75,60.54,20234.07,7.79,117.87,23.67,270.76,14.72,12.67,8.0,31.36,5236.09,98.06,2354.63,122.26,1022.72,134.17,721.37,347.71,71.59,975.85,59.79,3.47,142.4,26.42,114.73,1674.95,1849.7,2963.67,34.13,232.44,379.38,428.6,196.56,369.24,197.8
19,2782.55,1318.4,1007.77,22.65,4.89,43.29,2820.4,18.62,507.6,729.35,63.95,347.81,272.58,106.56,126.02,24.12,259.53,287.7,37.09,13.95,590.23,28.78,41.56,258.97,119.41,1325.09,43.1,206.3,105.55,111.96,250.26,93.05,7645.66,21.13,100.67,49.09,208.91,20.35,11.35,10.36,51.39,3801.01,425.18,2540.2,181.81,1086.77,108.75,776.79,243.87,110.98,1052.3,80.75,2.88,405.2,43.85,226.5,1954.98,1747.7,4079.8,98.5,350.93,489.86,566.87,178.54,940.31,463.01
20,4287.65,1292.13,1318.87,39.22,7.91,66.5,2804.15,20.8,534.79,791.07,107.82,401.8,399.04,128.03,122.53,19.11,270.18,361.4,49.69,29.29,690.92,42.77,55.96,381.71,176.94,3221.38,40.96,243.97,183.6,192.95,400.97,139.34,2207.32,26.11,128.23,65.74,347.76,36.8,21.23,15.63,63.06,26915.44,409.99,5410.58,635.61,3081.71,193.8,871.62,367.75,298.01,1534.34,104.84,1.55,676.26,31.73,170.88,2547.73,1476.88,4141.07,92.01,572.29,726.18,617.39,305.13,1905.41,449.01
21,4948.03,1411.04,1202.71,54.81,7.02,111.42,2329.94,34.86,468.2,803.4,130.37,455.38,510.13,129.58,155.91,23.65,275.97,445.34,54.48,18.0,512.99,34.16,58.84,374.15,201.11,4051.59,30.9,269.88,198.64,185.86,318.74,126.91,1771.05,20.72,186.45,75.62,383.66,28.92,25.05,17.83,63.65,41095.41,315.58,5340.12,632.86,3374.1,254.54,1112.21,339.63,377.36,1537.68,99.24,4.64,830.78,36.1,212.3,2868.91,1347.26,3938.19,87.72,552.84,794.37,564.59,484.54,2132.1,408.88
