,Sample,SNC,FA 18:1,FA 20:4,FA 20:3,FA 22:6,FA 22:5,FA 22:4,LPE 16:0,LPE 18:1,LPE 18:0,LPE 20:4,PE 34:2,PE 34:1,SM 32:1;O2,PE O-36:5,PE O-36:4,PE O-37:5,PE 36:4,PE 36:3,PE 36:2,SM 34:2;O2,SM 34:1;O2,PE O-38:6,PC 30:0,PE 38:6,PC O-32:1,PE 38:5,PC 31:0,PE 38:4,SM 36:2;O2,PC 32:2,SM 36:1;O2,PC 32:1,PC 32:0,PE O-40:5,PC 33:2,PC 33:1,PC O-34:1,PC 33:0,PC O-34:0,PE 40:4,PC 34:3,PC 34:2,SM 38:1;O2,PC 34:1,PC 34:0,PC O-36:4,PC O-36:3,PC 35:2,PC 35:1,PC 36:5,PC 36:4,PC 36:3,SM 40:2;O2,PC 36:2,PC 36:1,PC O-38:6,PC O-38:5,PC 37:4,PC O-38:4,PC 38:7,PC 38:6,PC 38:5,PC 38:4,SM 42:3;O2,PC 38:3,SM 42:2;O2,PC 38:2,PC 39:6,PC 39:4,PC 40:8,SM 42:1;O2,PC 40:7,PC 40:6,PC 40:5,PC 40:4,PI 38:5,PI 38:4,PC 42:10,PC 42:7,CAR 20:4,LPC 16:0/0:0,LPC 16:0,LPC 18:1,LPC 18:1/0:0,LPC 18:0/0:0,LPC 20:4,LPC 20:1/0:0,LPC 22:6,LPC 22:4,LPC 24:0/0:0,DG 34:1,DG 36:4,DG 36:3,DG 36:2,DG 38:6,DG 38:5,DG 40:6,PC O-32:0,PC O-34:2,PC 36:0,CoQ9,SM 41:2;O2,PC O-40:6,TG 52:5,TG 54:6,TG 56:8,TG 56:7,TG 56:6,TG 56:5,TG 58:9,TG 58:8,TG 58:6,TG 60:12,CAR 14:0,CAR 16:0,CAR 18:2,CAR 18:1,CAR 18:0
1,SK14,snc,26.9118591318413,25.9889507443874,21.1251993089484,22.5756631705339,21.1589192496207,23.4747614323608,20.4940566585199,18.7687647434676,21.1377706386801,19.3789540177928,21.0598510839909,16.0419773496784,19.4720109550135,21.7060194013111,17.2982309590729,17.0873179555255,21.6687134046145,19.9589027726607,23.0795108250157,23.0088831656289,26.574493353267,21.0593343375159,21.3024343326463,18.7005395725559,19.9926659877717,19.3501291435798,21.8368020049112,24.0603105012058,20.391125063508,23.2144876239353,22.1112644422291,22.0268804280479,20.5633395255542,19.9560902213111,24.2198957472174,22.4489305523961,23.0470355098323,20.4382787888181,19.5766211552569,13.2079941430106,22.242355637032,30.455133143465,20.6864068503608,27.9020388629993,24.0135664138919,24.317136237944,19.0644430357245,24.8765384878674,21.4684919582516,23.1308061184763,23.3379757306231,24.0099902745593,21.9782520485035,29.5741591636858,25.506299541049,20.1687966898673,20.0128749311826,25.1526860648776,22.1414969415137,19.8898521171026,26.9795754089879,24.7614577692313,23.7811614735358,24.1936506879267,24.2705686881545,25.2390461072455,22.8629190454185,21.4841376973051,23.4203512937783,24.0243542103366,25.4467093037511,23.7270389580733,26.063678144422,23.0122580973128,22.785583222955,21.0440540951348,20.0424279182834,20.6095950866306,20.0000203645248,18.7530204269283,28.6874537985537,24.9364096608543,23.1131374808181,26.6726811340016,28.0575617439333,23.8821267567783,22.5165160481375,19.573056919756,20.3408100195898,20.4910798395003,20.1846002279576,20.9620003462386,20.2156220484856,15.466638722642,21.2174743949127,21.5609378397491,18.8957411044072,22.0448651739462,21.3975811757021,21.6472197197528,20.089956272008,21.588399820704,18.4240483646874,26.6040439770568,28.1515883604133,26.1958675292782,27.7539384280965,26.3816093363524,26.4364247931453,25.5093758515671,25.6133046107012,24.4186680720759,23.3789736050474,18.6211601095859,21.0481555281177,20.1588068016656,20.7033211978357,19.6523186753295
2,SK15,sham,26.4557090054926,25.6192918654139,20.6664946421753,22.4405243220596,20.9599222678194,22.9092492151441,20.3623320191949,18.8042585025604,21.0781583383561,19.682332196064,20.6651740704549,13.6737677687145,19.3417113318488,21.7095977935566,17.6320181744569,16.0476501678532,21.8733385464676,18.4635983188175,22.442838758597,22.7974391849072,26.4323271625218,21.4934587121461,21.261359822411,19.9730248168717,20.0483009226226,19.5113160442713,21.7743994446836,24.4196399510886,20.7074647698531,23.2060661957973,22.1970208878118,22.0851404447973,20.2901405771516,20.2358698451743,24.1904006679063,22.4661241228881,23.1122565244612,20.6310127928698,19.4616188559805,14.6837837021597,22.278288038685,30.1994941712975,20.8507218462641,27.7948593546855,24.1067718644023,24.3481030811354,19.1342903831566,24.6419245239495,21.4958958266782,22.9406421835647,23.183488291898,23.7216932897491,21.7393251581364,29.4868163492947,25.7747822185437,20.6476687728797,19.8467154929992,25.1999500430924,22.2467681163851,20.1717576785605,27.4085135826674,25.045615372829,23.692851465308,24.2111076702054,23.7803875143788,25.4681183864643,22.1122933967116,22.213502142895,23.251272195355,24.1806301609927,25.4659689767888,23.9650710715117,26.5816440777974,23.5105659853063,22.9842717575874,20.6994469775126,19.9223025191465,21.1837666473066,19.9798766902948,18.1154751440048,28.6782641568305,24.9180354285624,22.7450830907854,26.5305996089024,28.2891663103639,23.8412485125011,21.9584591517097,20.1636625186754,20.3970438838078,20.0798478056218,19.8896608062054,19.898200682963,20.690915999968,18.0138100465005,21.4327438562982,21.8331199860836,19.8290150498177,22.3203979616206,21.3607962349643,21.908619973158,20.2053503881716,21.4354485874914,18.5691466371367,26.8488239927462,27.7399387710492,26.5633834735752,28.0159486749416,27.4418698941784,27.3635030600219,26.6963767556953,26.1568246540851,24.8962518625489,23.449575606425,18.1507897751218,20.5948993276863,19.5510577419248,20.1568235310149,19.3593629213755
3,SK20,sham,25.9327386522666,25.3969010774094,20.7502315912611,21.5972724176185,21.8270228051911,23.1274012924718,20.2373453392614,18.6160679335011,21.2587136088028,19.8749708559735,20.2523451084932,13.2735772871629,19.697009117323,22.1455090617214,19.8579554447877,18.2622649853495,21.4956947166746,17.5169443968301,21.6977892114061,22.5570009825251,26.5502255679444,21.8329362023721,21.9398518374473,18.765769810003,20.0589945430919,20.2557733929633,21.9084941049168,24.0561286831203,20.7687189342813,23.4232029460418,22.1367826193741,24.6912892770888,20.5095970721673,20.3522016806045,23.4740400491379,22.6162016315348,23.0619695438888,20.7943573429391,19.8367379145607,18.1131666997022,23.079807064866,30.109055730554,20.9704391773745,28.1277702341867,24.4231221665682,24.562673380128,19.1321193486052,24.3048073701269,21.4660646150816,23.6926523449376,23.8270964268102,23.5134872185228,21.7800551959689,29.4498549958256,25.8221352406819,20.2100839509487,19.5636441639844,25.2438593036097,22.2804252654536,20.5383229488065,27.0235671278419,26.3213442502495,24.6216077629678,24.4448175192903,24.2253615798714,25.7832226543652,22.3791545058381,21.3788763065061,23.4995185776457,24.4536510074531,25.7079931995286,23.6795237519777,26.3448644717846,23.8821848329881,23.9878832092169,20.9678409398939,20.2024020385791,20.9975352884768,20.2460369053551,17.7615288083337,28.380196789845,24.6433780101917,22.7655666872408,26.4401849219382,28.1446884226037,23.768057150939,21.8801759753592,19.4462260821383,21.0185779150387,19.8858142805304,19.8604602502139,20.2441306155897,20.3518934551036,17.8322532375163,21.7433222195953,22.4869210839152,19.3811421666829,22.3800616854261,21.3724296470957,22.1901135228651,20.3718090071859,21.2610336067176,18.044677572908,26.2322080304378,26.3205010569397,26.3639180633997,28.2454030446967,27.228340207216,27.3211056845109,27.1333211803143,25.413564702004,24.952762034453,22.6561501694201,17.5658591836384,20.4437003506512,18.8402141858527,19.7090797387576,19.0902781240248
4,SK21,sham,26.8843737557176,25.4965784075627,21.2595046546281,22.0829849735091,21.2941502167421,23.4336741055183,20.3150033320951,18.3989144732916,21.2042526884387,19.9899348184632,20.4278908286125,15.9348936573548,19.6511237352081,21.7409145177125,18.450152739325,16.5859420838215,21.6854823112254,18.8803767079067,21.9662417401941,22.4290758076085,26.3141419091018,20.3189629329583,21.6301365013737,19.4923804370295,19.5632048292593,19.9024037754054,21.6168628945381,23.7911623362619,20.7757926225884,23.3270949974363,21.9137399338398,22.3436995306975,19.2762686014419,20.2268211582489,23.6840336844479,22.3520726876563,22.7381599795822,20.2787134458483,19.1263917585784,17.8238138858324,22.7081082993994,30.2999120475009,20.4458693028819,27.800467588227,23.8981514564395,24.1249099715753,19.2246308461401,24.3959549287411,21.0973351690113,22.5167145519897,23.4780031087955,23.9505770360637,21.6054673028229,29.4398587893342,25.2335628822926,19.8921798907958,19.6216227033503,24.6394443344439,22.1102287485066,19.5662155180519,26.6875628107989,25.0483952003944,24.3078009209444,23.7610619202885,24.5285301111126,24.8533500977694,22.3409823653599,21.1114263278167,23.0680863762536,23.6266212865304,24.8027294146384,23.0317818690866,26.1916401073507,24.640086915046,23.6166649245189,20.9765517553833,20.5048114312699,20.4993974237394,19.8556780674616,17.5967344454696,27.9291930526733,24.2212749999115,22.2186252717088,25.7706665624439,27.555691537635,23.2139201442589,21.401880892962,19.4050128070859,20.8062079314343,19.1758250679761,20.6418419075559,20.1042595598258,20.7545795245215,18.9383765979182,21.485284993073,22.1603331368086,20.0361920187006,21.8942211156692,21.226560867488,21.4581468634234,20.7725810772569,21.0523279734041,18.3663529187356,27.0630357942561,27.5248706373933,25.7662234893007,28.2484961332049,27.6695210420748,27.7455973817379,25.3172626527584,26.0004578876353,25.0642347221609,22.6778229612279,17.221671915811,19.8328964630986,18.5336849793925,19.1068046058712,18.3590638403497
5,SK22,snc,27.8352452247154,26.3280313278081,22.1341459013926,23.0718137391234,22.6138306408492,24.4455579948499,20.743147642666,18.618364933079,21.0790261089772,20.3775114938456,20.614707118203,15.8157797652268,19.394886718345,21.430202752694,17.7469927637411,16.9733595052431,21.3692840147955,17.8047740200148,21.4900917416703,22.098746452874,26.1974457666276,20.0417209681604,21.2219127760765,19.5929348989544,19.7204712634614,18.7779891665797,21.23257504889,23.6245206892486,20.5836340244685,22.6548564976652,22.0390427825052,23.9104366062602,19.9866979949817,19.8752262361467,23.3150657680944,21.9954284335557,22.7792986670973,20.4152848957376,19.3342283071756,14.9080779217521,22.484685715279,29.9212700739959,20.7047653005726,27.5625664719361,23.9751895104886,24.4396316841592,19.347664895869,24.0268729545255,20.939934326728,22.8091288812267,23.2385888892356,23.5823068595759,21.1895354184473,29.2626665770467,25.2468366309424,20.1853505671529,19.4006229706124,24.8059502117416,22.2771633550888,19.5521531236669,26.7768215810428,25.0373035147491,23.8648320617322,23.9110587474618,24.2505136229278,25.2980469049923,22.0897132414709,21.2167376323819,23.1263097206901,23.7880275945146,25.0812037119051,22.9408086712777,26.1598447294121,24.2890187366383,23.3745722941354,20.3986617051269,20.2628856303783,20.5502723029179,19.2949692235699,18.024393289693,28.1970556487942,24.4736771964223,22.5184900527311,25.9318258088525,27.9014903250045,23.5842028500358,21.3444926500971,19.475502929801,20.2296449925357,19.5244658771824,20.9369536059144,20.6190082931794,20.7519284199562,18.9183063705043,21.9891157417462,22.5289857761981,20.0435488141807,22.1379962197176,21.3352050208527,21.9846534920871,20.5569073877826,20.8364445222416,18.4001131430319,25.7116591517992,26.4988101276701,25.7319902362897,27.9640869572364,26.9743516371924,27.1470480920088,26.4534112959129,25.6602853041869,24.5289443150094,23.0995685763217,18.3737611875532,20.6577560992805,19.4123840779212,20.4049330266451,19.1239185061254
6,SK25,sham,26.8223826236334,26.0046173347386,20.8397819184655,21.7460171324701,21.1903480838402,22.7726758084292,21.6975024371589,19.3751534773738,22.4116489445622,20.8515520456232,20.3879079171548,14.40059622429,20.1138681780247,22.5545037901627,19.8307805929357,19.1761782031599,21.4629656281131,17.2004446589274,21.5714138865197,23.1951011538407,27.1015269841038,22.2912381693464,22.2807642531111,18.9792763732335,20.3544276415519,20.3136932860508,22.1539023883251,24.1067357863505,21.5930569946823,24.2969671652791,23.1038732164236,22.578264751053,20.2244965115681,21.4904176596874,24.583025142192,23.1182538553017,24.0700629497595,21.0808514068855,19.8768451200958,17.6928507744661,22.6349321164428,31.0044696447215,21.8103321011845,28.6742875659988,24.8379901591832,25.3006652514088,20.1021863729771,25.1789671743953,21.9750126464635,23.3433448146157,24.1238352573338,24.6302856733889,22.5368757329842,30.2948253982378,26.2034323705308,20.7121980504915,20.0838523581157,25.4408496412393,23.1847102516453,20.2581337078374,27.4142351945738,26.2226858085471,24.6980967848646,24.9012534095055,25.1087568529835,26.2843286711177,23.3469202176317,21.5386318585547,23.7492759667735,24.5975716129632,26.0842395804533,23.6560919956491,26.713386572697,24.5243773744228,24.0293827982871,22.1491309918792,21.6666147718219,20.5391443526257,19.229451444858,18.5447499181868,29.3235769725748,25.5623763885494,23.3734376514506,27.2011718149978,28.9232475917996,24.322091650428,22.5633594653275,19.9386955682612,21.4041064310803,20.3946109372804,19.2799128738861,17.1457541922614,19.4376965959555,17.4864198808838,19.9416387282172,21.153067771336,17.3121853701811,23.128055851726,22.43715135115,22.7214007906476,20.6412698196523,21.8521337534292,19.6681864806413,24.8777373942617,25.8098867579102,24.7510464788955,27.0098266344501,26.1166680041389,26.7265214394138,24.8467511866336,25.1921153167536,24.2933738514848,21.6529682383722,18.9872980277523,21.4894084291175,19.9113312456387,21.0165484732788,20.0386829931091
7,SK30,snc,27.4734145533761,26.1418953787466,21.8157078727474,22.583171819875,21.9680141692084,24.18887932278,19.9439253571362,18.0057350697805,20.6360626922288,19.5444121711429,20.3946159325883,15.4895300926976,18.7083145929912,21.9207547528171,19.5582822557049,16.8915715149371,21.4884098240073,18.7889480856198,21.6223129921469,22.0749423959391,25.9794022175964,21.885839501078,20.9650013501106,19.2426261853266,19.2183424067518,19.9803348290214,21.5685346724767,23.7938525107306,19.9180125618158,22.4331126973878,21.8449207877928,21.4577957873629,20.171939070128,20.0574209268265,23.7336138764329,22.0405677457187,22.8634652594739,20.3038136748753,19.8224597314248,17.7298411388848,22.1285776711055,29.8825916633063,20.4103274212437,27.4980091984217,23.8216737948886,24.1018316949595,18.8468823082449,24.0497986550221,21.0583990730712,22.2606898143341,22.9669917351439,22.9801625009234,21.169740095219,29.1733198021733,25.1087723761112,19.7704624667469,19.0299200652556,24.6629317052237,22.2524955180801,19.2037035107455,26.4908887661967,24.7583391383097,23.8818172281658,22.7287872732074,23.8219011695541,24.6874774753156,22.3068658937691,21.1984969147118,23.2593925292266,23.7141694686675,25.0548103274424,23.0943416269572,26.1381640765815,24.4905821589122,23.4516051445862,20.1067413510436,19.5703509434611,20.5778686878505,20.0347996830937,18.0673285827562,28.2140760713618,24.4842512893088,22.3418495718555,26.097472517051,27.8926005002339,23.2465308213016,22.0460260938541,19.1608575589519,20.529233594714,19.4290499083195,20.838370163517,20.5754526898233,21.1559605114204,19.1691137083852,21.7841377988794,22.6200000191256,20.3420090607039,22.1498418067539,20.9156584721807,21.518374875822,20.264562503636,20.5220206009205,17.7906016008625,26.1298586947971,27.407463669769,26.0827852181158,28.119253490207,27.3501349188991,27.5818985076502,25.3892115956423,25.9347106071808,25.1229486464623,22.3065715010215,17.8541205981035,20.3987302532998,19.294509594209,19.9022183922641,19.1193291528882
8,SK31,snc,26.5894188837221,25.3240756489246,20.5316860214872,22.0172416005248,20.7354905183,23.149542976893,20.4229137902055,18.5878424593248,20.7997673349073,19.5065888579823,20.5452911874757,13.4514977297555,19.1687572711556,22.3560284612085,19.5431273248305,18.3947968963616,21.9809713939382,18.784229700926,22.0165542252075,22.2747901676382,26.3477153208835,22.3700644211505,21.8457387998842,19.6223962672893,19.7251950227746,20.2951899291739,21.740438689346,24.6103985723873,20.5432019609736,23.2805946254848,22.0264390259915,22.2744982734428,19.675454045787,20.414021531735,23.7523854291415,22.6297837108787,23.3550671593901,20.5244226955399,20.5177314533712,17.7085482496836,22.5217967676475,30.1961820646121,20.7428564020389,28.0707555047254,24.3007537560961,24.518511493225,19.4867447553017,24.3041950757171,21.4187999705817,22.6634639150333,23.6496683253096,23.792342752086,21.4684417092536,29.3508026499544,25.5459014868661,20.3676103397503,19.705051766155,24.8786581070776,22.4475378058482,20.0409701804087,27.2204984071088,25.1892431990843,24.5757140116413,23.9792720629329,24.3736627686599,25.2568031985231,22.353311508737,21.8967561238889,23.3249955589845,23.9086548235286,25.2308096395143,23.5395124284708,26.5685428911376,25.5279980201687,23.8937331743119,20.7200951710484,19.9883800426874,21.0048922630564,19.9835884716858,17.0800367508277,28.5675946560966,24.7813599102339,22.6050720539531,26.3456969214404,28.1436397793643,23.5515675029797,21.5915670545071,19.8330750962926,21.2202076023096,19.4482545990713,20.9307607681492,20.1543266756552,21.129012685445,19.3770160958394,21.1605041158561,22.3915879168239,20.0088530039311,22.4275105020879,21.3496261804522,21.8376393027072,20.7781644284629,19.6740286871139,17.9190272747909,27.2324196336298,27.4517987067355,25.5162895492887,28.2968410915228,27.4662494832859,27.9200337712321,25.3028387318991,26.0835496144089,25.3504099920563,22.0796440985866,17.816053297569,20.2208333587848,18.4698822301943,19.5845501243282,18.7473370583541
9,SK32,snc,27.3335942436541,26.1851708768548,22.005068513557,22.6056376060658,22.0477128133875,24.1363874925037,20.1552965966029,18.2372145628377,20.7444754508326,19.7255705082479,20.3626525474617,13.0847025632884,18.7896785521556,21.7592019665419,18.2274199382956,16.6318856030447,21.2510930621096,18.7683626961942,21.4236676145902,21.9747661204938,25.9284574460942,21.347663249299,21.0929455070518,19.1355427982324,19.2965424807327,19.8453936359658,21.4812640415401,23.282249215104,19.7902639052237,22.5994633725677,21.5752015219587,21.6202256786335,20.1966180923256,19.9929098533154,23.5062861304942,22.3793142547743,22.8766596128477,20.1972222270669,19.3600730399042,15.2289471632904,22.2839773715111,29.7896167617271,20.4525097597085,27.6951496219806,23.6436237860176,24.1809760522288,19.144979858701,23.9030784571045,21.3110197231373,22.654445378924,23.1904126615758,23.2378012321642,21.2690035500064,29.1449043316226,25.412686966376,20.156308689855,19.1412152564987,24.8973463550918,21.973981863899,19.5262496692656,26.6990357774822,25.2679294032614,24.3044195729487,23.5371412762529,24.1872830345941,24.8241868596389,22.1301815944423,21.5710429345071,23.3799015529816,23.7473533450527,25.175030069536,23.3002550834496,26.4273678605204,25.137298162833,23.9277224214645,19.8638355077325,19.4240601407211,20.7184995841758,20.4323407071243,17.2239540048765,28.2577794253703,24.5251965923401,22.5430458420199,26.1932392573482,27.9121549446602,23.3675821005377,22.1255014824943,19.5218862840361,20.8460111492551,19.6799248513464,21.1978367520166,21.1766444259801,21.1200680455905,19.5811607473219,21.8188097923059,22.7707779760953,20.1449417192752,21.9403670092047,21.0594142471557,21.5603517875214,20.6167477117929,20.8515704371427,17.5101134495751,26.222571407553,27.3361633597931,26.032374377001,28.2325462499016,27.3232088060989,27.826095430489,25.995973327454,26.2359077603776,25.3382713030047,22.0343154562972,17.8558617155239,20.3960910451021,18.9611354664431,19.8683774615717,18.8151186754071
10,SK33,snc,26.2423587533918,25.1892412050077,20.3533890115859,21.5761327342403,20.321794671522,22.5174134126265,20.4774965982873,18.4667325917842,21.0839026581662,20.0089234653378,21.4959853220504,16.5608983304411,19.281340623707,22.3300792251089,19.5929716438069,18.9746373537857,22.6467841451947,19.5511415880539,23.2566758790648,22.3159162556021,26.1488263180122,22.3655494700049,21.9368379962113,20.0608739490651,19.0974287186506,20.8049133099129,21.9895302851193,25.2497249744201,20.6295225930156,23.5642481069726,21.9284151571939,22.316848465883,20.5386095823934,20.7346556542442,23.906258215875,22.7762742665517,23.040481426301,20.5252486353677,19.7384760781634,18.7960101149974,22.7950928520112,30.3825506315966,20.4439998056106,28.1806631708908,24.0950880886317,24.0780095102009,19.4112809017539,24.5427220234062,21.5489294352195,22.8916640501776,23.673281473379,24.3810976963271,21.2079793967998,29.7740592904951,25.7300195885596,20.0095122811965,19.383881181479,24.7263100124426,22.2063132798571,19.9432453048882,26.8098617074621,24.8427441191114,23.9705791570385,23.8793365540641,24.7989909641695,25.0891782714063,22.6573677891433,21.312583556535,22.8865823584295,23.9359395692865,25.1680942858268,23.084739191477,26.1981491717674,24.1871031918493,23.1345923953092,20.7041363387733,20.9469365078559,20.608525195102,19.1143002901211,17.2969287447006,28.5661939171738,24.7434757325356,22.7436344374712,26.4742746414851,28.0922030491146,23.6905767659619,21.7087235713859,19.574808803502,20.6602304065013,19.9046117663552,20.8680854914796,19.926417808853,21.5293078607827,19.9499355965022,21.2472916837843,22.0219204587122,19.868028055859,22.0990975956504,21.4844766582306,21.6536773946632,20.6440379549728,20.524303414083,17.3178157023321,28.1511976370544,28.1772737352034,26.2477741332971,29.0534914355398,28.183594104773,28.284470974196,26.5495730695638,26.5535079760452,25.5917716517031,22.7452617858669,18.5183374899653,20.8343314371764,19.438292431756,20.3782833467103,19.5540699919194
