,Sample,SNC,FA 18:1,FA 20:4,FA 20:3,FA 22:6,FA 22:5,FA 22:4,LPE 16:0,LPE 18:1,LPE 18:0,LPE 20:4,PE 34:2,PE 34:1,SM 32:1;O2,PE O-36:5,PE O-36:4,PE O-37:5,PE 36:4,PE 36:3,PE 36:2,SM 34:2;O2,SM 34:1;O2,PE O-38:6,PC 30:0,PE 38:6,PC O-32:1,PE 38:5,PC 31:0,PE 38:4,SM 36:2;O2,PC 32:2,SM 36:1;O2,PC 32:1,PC 32:0,PE O-40:5,PC 33:2,PC 33:1,PC O-34:1,PC 33:0,PC O-34:0,PE 40:4,PC 34:3,PC 34:2,SM 38:1;O2,PC 34:1,PC 34:0,PC O-36:4,PC O-36:3,PC 35:2,PC 35:1,PC 36:5,PC 36:4,PC 36:3,SM 40:2;O2,PC 36:2,PC 36:1,PC O-38:6,PC O-38:5,PC 37:4,PC O-38:4,PC 38:7,PC 38:6,PC 38:5,PC 38:4,SM 42:3;O2,PC 38:3,SM 42:2;O2,PC 38:2,PC 39:6,PC 39:4,PC 40:8,SM 42:1;O2,PC 40:7,PC 40:6,PC 40:5,PC 40:4,PI 38:5,PI 38:4,PC 42:10,PC 42:7,CAR 20:4,LPC 16:0/0:0,LPC 16:0,LPC 18:1,LPC 18:1/0:0,LPC 18:0/0:0,LPC 20:4,LPC 20:1/0:0,LPC 22:6,LPC 22:4,LPC 24:0/0:0,DG 34:1,DG 36:4,DG 36:3,DG 36:2,DG 38:6,DG 38:5,DG 40:6,PC O-32:0,PC O-34:2,PC 36:0,CoQ9,SM 41:2;O2,PC O-40:6,TG 52:5,TG 54:6,TG 56:8,TG 56:7,TG 56:6,TG 56:5,TG 58:9,TG 58:8,TG 58:6,TG 60:12,CAR 14:0,CAR 16:0,CAR 18:2,CAR 18:1,CAR 18:0
2,SK14,snc,20.647880219415,26.7491904237408,16.3050255459938,25.3309648727198,21.1534004087535,20.1197490992385,20.6160550558658,23.713396970847,16.6459763649639,24.0397915404126,24.6124760125927,28.1189196340132,19.8386891467592,28.2368338979607,24.680781028489,24.821103556343,28.7752810408027,24.8212201162015,21.8785956036984,21.0698574326393,24.2919247056965,26.1894737694029,26.1097117344181,30.6519799888782,23.8798434859486,26.5589445696915,25.2286039911002,30.9930122160545,27.1749571808967,20.7636708254008,27.9856189561681,27.9528062957951,31.1014913100165,28.5431213459393,20.3842193446316,26.3943845391282,22.8467908651102,25.0389306061523,22.6506859693312,21.4611062224237,21.207856422428,28.7296553368561,24.588027646926,32.6430952043972,29.1435059651373,24.8353961287819,26.0225022983217,23.3628027939781,26.7071188235252,23.3959884289897,30.9017358887943,22.5631791912484,22.8051639508982,28.4665153083724,22.5431007738016,23.5932726147127,22.5679425508392,25.0990249728435,22.0392906066394,23.402050133654,31.0220318322771,24.3038320748317,30.4132190881327,23.1769474447141,24.7973862923851,27.0548771443374,27.1912504335104,24.5529610139645,21.3917727958258,23.3588001521339,19.280792465375,28.3290961150087,24.3111888598966,25.565878988408,27.0326257995758,27.0063891117071,28.8825728454814,25.0921569707752,23.8518062172289,21.2347168404685,25.0082800824445,23.536479070829,24.4431494443403,23.5683478417094,24.3581486112783,23.093958913657,20.0527209448492,23.2612137417491,19.4681647552674,20.1694003730924,23.6675330415196,24.8534611322122,19.9862412172823,22.4784702975716,23.5891696458207,22.9976500078727,22.4144006513435,25.2999807998455,25.2646537719414,23.0734269210509,26.6113553169842,21.3742155150227,22.9140972009993,21.4162842722515,25.5606178486849,23.2060880034282,25.3339397655745,25.6497093687471,24.3866473670412,22.4609890296594,24.1016547794178,22.3673450722895,23.3004612737984,20.89455540288,22.820851625366,18.8581677566088,23.1986071916203,21.5931794845456
4,SK15,sham,20.7598836489045,27.0942755235446,16.0601140679079,25.5793192270357,20.9337672207387,20.1193183812663,20.4137268040791,23.2812761297146,16.716825710501,23.7490458729193,24.5116991507596,27.8958794915873,19.8827094471816,27.9947006464719,24.4679219791306,24.648860540342,28.6389393325815,24.7538875619869,22.1373683120975,21.3027227798712,24.4191801168253,25.8208462702097,26.2077622438581,30.5697679404837,23.8670858460722,26.1806817216639,25.2547722795177,30.8323412254199,26.8897032202363,21.0275606866313,27.8129214962409,28.0686660479194,30.9897573967251,28.4394775236973,20.6097254641613,26.4202861476216,22.7292920801992,24.9589456826424,22.4979092078238,21.5254172163271,21.6139969528152,28.6790889211491,24.2111979853178,32.5658268616386,28.9980155231243,25.1261436574489,26.2066258506466,23.5137609622261,26.7770337756011,23.6925117898849,30.8443299421936,22.5341126323276,22.8519878903138,28.4024099172203,21.1034166211781,23.8804906015621,22.5757104915793,25.0934077127453,22.2130839173067,23.7057350888407,31.0641488918398,24.6093373168842,30.3565161054339,23.4879403908817,24.9395310145615,26.8062210975091,27.1832314567652,24.679464990562,21.530443053343,23.5976886770641,18.8717105650977,27.5731208764987,24.588734732732,25.610045813982,27.1972264083295,27.1497142121016,28.6337462784342,25.1992106622776,23.814755913996,21.6055292752997,25.1333212209403,23.6859211584359,24.3793175746884,23.5946930947123,24.4610683593715,23.1621870597997,20.0885808054439,23.4553215130647,19.6287748220638,19.815997913124,23.7900207901855,25.2425691210569,19.867831885429,21.5412281466414,23.91579690623,23.4945453829594,22.85655747545,25.3199820770542,25.3184544063477,22.8466898808424,26.4564851090645,21.304794652721,23.1731498535801,20.5650691622068,25.2563945846758,22.3722028277349,25.113565711787,25.1805028833344,23.8827296939616,21.7485949353266,22.6507998499015,22.0271451670069,22.7653439831747,21.0684344706019,23.1902387964978,19.3554092936637,23.2696637796431,22.2872102266789
6,SK20,sham,20.2470437913235,26.4872206146641,15.6598031103379,24.9490755515192,21.2059609582897,20.0072689399749,20.5711194138366,23.0352598046173,16.7330119389043,23.6640885615725,24.3266093394949,27.9122877935529,19.7958749976368,28.0257612543213,24.5151771779479,24.4277372037159,28.7576151718862,24.3134500249694,22.1263544819726,21.240067656738,24.7436897933676,26.0802121504446,26.2678700491684,30.4138472253899,24.0761393735386,26.4679254657542,25.1963024086248,30.8070519711363,27.0539234921443,20.9572127387574,28.0772561239813,27.9624204746564,31.1149268013588,28.4785436217094,20.4189735775485,26.2017810002261,23.0631955543495,25.0065094130436,22.9002306995006,21.5943178878954,21.7212448425117,28.531806036421,24.566178234597,32.5446460081078,29.285766111249,25.0640886261672,25.8157828038957,22.6899068497855,26.6304285309427,24.1500745216566,30.8564207881156,22.3454641809109,22.2285030643877,28.322982552037,21.9237416359287,23.5559611518631,23.0021825069698,24.9348201602528,22.4306109876916,23.5033573410188,30.9013956369016,25.0676354374638,30.3549729765472,23.4165141409065,24.849818127571,26.803309053003,26.9813365602262,24.3797607220539,21.6366107410716,23.5499454075522,19.5881545972545,28.1802273468255,24.4500445004129,25.6740698670269,27.2955501432113,26.8108018151558,28.4901626068626,25.0600806179416,23.6881842724603,21.3955135964114,24.9803668268878,23.0740630879494,24.130845798026,23.425563162229,24.4645094775981,22.9271161418712,19.921254300645,22.9031779399593,19.6752583527569,20.3318410316068,23.8473363305436,25.1056376227667,20.0038405162825,22.1356655871643,23.6445459223981,23.0422807082278,22.4392212252478,25.536069682423,24.8849172288919,23.2143121452291,26.555933548633,20.7565482107778,23.148522228104,21.4536308958354,25.8831426439556,23.0984428548985,25.5213577804373,25.7879200265151,24.3522055498709,22.6193383466278,23.5567187576828,22.5173615183143,23.1269575486507,20.9310152526592,22.9618761518715,18.8690857927678,23.2733810063085,22.2442599498707
8,SK21,snc,20.6088410654121,26.6883156363365,16.4748316950275,25.5351236470059,21.5055353475478,20.2874207163066,21.1671405586674,23.7465949649061,16.7169460124548,24.0879217440505,24.8043580563233,28.5419691428056,19.6506914427319,28.494150999243,25.0916471113149,24.8325929020999,29.0604269059116,24.7714948557007,22.1233086703355,20.9167048492811,24.6806242228724,26.3935540736892,25.9759064077373,30.9800244279306,23.6314051032014,27.111041640596,25.137935126506,31.2172122664739,26.8943229478719,20.7881461793547,28.3764475865286,28.2696792181912,31.2533315848828,28.6672073660387,20.0623525622418,26.1605865781729,22.6393625355031,24.9548937359674,22.712752680904,21.8124223740563,21.1256157698807,28.618531279398,25.0632843462661,32.7178680304467,29.2835869099596,24.6400773297894,24.9718674779028,22.9500596876406,26.4114628822617,23.3678881590347,30.9706653380894,21.0596500744387,22.1855099950191,28.3662882188183,21.6889973897493,23.6903648212491,22.8902140185545,24.8807496903781,22.1179174832025,23.4192589139885,31.1615474344088,24.6599557549111,30.3966600228696,23.0865164490568,24.8082281771036,27.0823014569413,27.0422831796291,24.6213788119476,20.7575464233927,23.5496046711009,19.9942238500581,27.5849375433025,24.3752057515256,25.298065479151,26.9670448228473,27.1256114048041,29.0766332558365,24.8763203825132,24.0542773008132,20.4988034400293,24.8730544956401,23.2267778742812,24.3767691170653,23.126974163532,24.2223775326549,22.9661392824642,19.4929432673157,23.267879042097,19.5726628915247,18.9921207406883,23.4798177196041,24.9529076296085,19.9314843061105,21.3591284004631,23.5349308647855,23.0680401765509,22.5929918068328,25.0754343888127,24.4345012229614,22.9230291982974,26.4652066722034,21.2222393243544,22.9361692875927,21.5950552954369,25.422111661709,23.1947398249441,25.41938538176,25.5519472781553,24.0933012494449,22.5811230621565,24.0621853688489,22.2993827880847,23.1688724819879,19.6683163457812,22.0899568144482,17.4034827493429,22.3373226495035,21.2432684704629
10,SK22,sham,20.244864469072,26.1292564748289,15.2386420067477,25.0624066433583,20.9663829947474,19.6464982411873,20.8754806645165,23.1681369075842,16.3779510787165,23.524716268117,24.8297701597438,28.7061467736125,19.7477793017101,28.7253323662679,25.1355611817932,25.247486714708,29.023103884722,24.8947813687363,22.1139286505267,20.4517505601282,24.9124471531563,26.5378460305814,26.2700192023231,31.0567271708447,24.0151520498737,27.0540440735809,25.4783899389907,31.3384558711738,26.720143840186,20.1609319335738,28.9395907662549,27.8544112967508,31.4684216063982,29.0899707583639,20.218509602618,26.1697146552536,23.204866327146,25.5079167715272,23.4119840427319,21.9453534365266,21.5003026925535,28.7345204071165,25.8385470275693,32.7830068992207,29.7590553256809,24.8227148772258,25.2876430264287,23.1726342214381,26.3753443199129,23.3684672257418,31.0121536593388,22.2217609361686,21.8971370698821,28.3520231295734,22.1361936163124,23.8860375823056,22.8457242485846,25.0227400899761,22.3094302202866,23.707092750512,31.3064259553993,24.5681817944553,30.4493857101193,23.3570464922902,24.5406508898226,26.8402073534356,26.8835877722951,24.9149604814701,20.5712021750679,23.5453952292169,20.2475094159942,28.4002635768848,24.2147740691869,25.18323950834,26.8709004851483,27.3255064682251,29.4013293070549,24.9800918723794,23.9565815955661,21.1160379085211,24.7152301180975,23.1867907678667,23.9515799217811,22.942561643663,23.9962655280045,22.6812340935261,19.1062144848904,23.2131520203976,19.2644315897135,18.8042588118773,23.2492556256718,24.91844386216,19.7633764887965,21.1032659901801,23.9700577786116,23.0028749564163,22.875071902075,25.7713784352567,24.5724841711054,24.0270481931723,26.1758983806868,21.1907003991586,23.4439331906776,20.5563607477065,25.2597692233812,22.10709937982,24.9424342847156,25.3073645299785,23.5759493323912,21.618566282049,22.4194244837428,22.1804272941589,22.8184699227357,20.0167352377596,22.807680473908,19.3002761474711,22.9909010678259,22.3190973678618
11,SK25,sham,20.3808723109225,26.8864798472023,16.1328349529325,25.2681699811118,21.1758313977059,20.2731349338487,20.6541746245185,23.2224281446353,16.1168632272713,23.9020137831522,24.497297273517,28.2289272549179,19.7449542361013,28.5906584771702,25.2908925443899,24.9895617516591,28.848818986525,24.6738285678704,22.0344158712445,21.1286633081957,24.9044932593197,26.464057013277,26.3504916164066,30.7463836323557,24.0249445469785,26.8422252964832,25.4428740718004,31.0909242680534,27.0018603628644,20.6567104775773,28.562197891115,27.8082808451814,31.3073553030971,28.898083418922,20.3720281452763,26.3137729507443,23.1655653207401,25.468651621141,23.2777462012532,21.6631744652609,21.4512382552414,28.6996581363206,25.1688270852039,32.6394106326002,29.5351518863136,25.1122681141391,25.7403860821768,23.2773121714676,26.7049513496596,23.9193032547175,30.9026307468538,21.4540484906881,22.581153110743,28.251509589997,21.1930742104646,23.7853771579752,22.8784851799365,25.027754592859,22.7596299978544,23.5333484783015,31.0953059910154,24.9570808435638,30.3940346239452,22.878731994231,24.693346649327,27.0414255796468,26.9641141650699,24.7485795325662,20.6858987962253,23.6999140493052,19.9499260998587,27.5051682729497,24.3803108851269,25.3475201733884,27.0681004489459,27.2680864720013,29.0926594955177,24.9708000339275,23.5339000791582,20.9002283635222,24.9313924369081,23.5442285725255,24.4548813070425,23.2766116136139,24.2750331629294,23.0752895681955,19.6447318987561,23.360373073729,19.5565635204886,19.696089729376,23.4867503073071,24.906242128737,19.888106635166,22.2039983412757,23.9496955266106,23.1104591575219,23.0374386410775,25.8045788691665,25.3422399969733,23.8379777861676,26.1931352696862,21.5070735547829,23.1658063917238,20.5794611412312,24.8864327716839,22.2977611294619,24.7289082770826,25.0543441140308,24.02624479287,21.7115776796634,23.2776506651745,22.0837718956926,22.6058425802778,20.5888472258347,22.856641023954,19.1583988531195,23.0430757640183,21.7698003954748
12,SK25,sham,20.6373872196303,26.5535544899714,16.3993525391797,24.893766787609,21.5376988694817,20.214127053277,20.9564541970815,23.2052213569361,15.7770430464949,24.0784836076645,24.9135523678262,29.1293486990979,20.3257731384892,29.7664689811934,26.1120971447419,25.761977665123,29.4571174249715,25.0255353863215,22.1627079208616,21.113642329193,25.3032593489877,27.5423627599368,26.7705855394688,31.2519602065629,24.5407515792137,28.0158067416714,25.478197049469,32.0631592618364,27.9171809465675,20.8553194144166,29.6815419645658,28.3515891181141,31.9667595573982,29.9154341641073,20.3050166127136,26.145288030499,23.1139574867674,25.4621949644618,23.4888510678453,22.4469984759956,21.2109197734091,28.9055948609081,26.0012108851315,33.2073667072003,29.940821572844,24.7320027051997,24.7496900672505,23.3723724417937,26.5054543379638,24.042735159573,31.4257661218812,20.5246965670723,22.2572755634186,28.4788557513257,22.0303157035161,23.3367744108625,22.8282292512015,24.9292943518296,22.5427280238523,23.0578410222422,31.1528659294361,25.1538651917796,30.8271621128405,23.0886426339804,24.6034991407632,26.7514239041793,26.8218839122516,24.2900130466099,20.7064340189721,23.5217404973647,20.0895795030429,28.2740354776421,24.2058708344049,25.431534670624,27.4890879412805,27.549930509282,30.3987721384212,24.6528050444179,23.4051981115394,20.6091274749146,24.7880456059984,23.1461594379434,24.1341812983025,22.9140910737719,24.0047486226874,22.8494968614951,18.8253541377443,22.64985713694,19.67320958654,18.5009158283767,23.064691480869,24.6316252327398,18.6695322627988,21.6297581154259,22.6121240305943,22.9087113087691,22.5137323932012,26.0417031201321,24.2333451838507,23.8677553591737,26.0938445005786,21.060523753323,22.9493878737624,22.2660560048101,25.4665954713443,23.1272125879308,25.0562577569131,25.549509740631,24.7676795430505,22.4243555625826,24.2284102545367,21.9348004111036,22.4825801377101,19.4548378601334,21.9835626025355,18.2559244341372,22.2318131685952,21.3324149721383
14,SK30,snc,20.8199100705149,26.568014279696,16.3977262769182,25.31460143517,21.7705673538674,20.1064798797648,21.1366417357779,23.4079245858729,15.5458421229277,23.8830598672663,24.9341740715556,28.7623840612153,19.6841749902556,28.9908706466578,25.3292538515798,25.2946237496246,29.2719676131066,25.1350307275024,21.7077435761956,20.7949410887383,24.8504226537674,27.1284691794223,26.1194231539278,31.2561923332284,24.0064914442024,27.8007600772486,25.2640150979311,31.5576267084667,27.1538520459885,20.4000872900225,28.8241911595623,27.8609042426067,31.5148476181237,29.2266352303432,19.8432393166264,26.116201469285,22.9046895527382,25.0617231251543,23.0311290918108,21.9612012302506,21.5518599312655,28.7325596687265,25.5548309315035,32.9837031310661,29.5440260262327,24.7975899866629,25.2733242131618,22.709143462693,26.3999487296163,23.74250751511,31.1674248471647,22.1845917939124,21.8830956040493,28.4857862154143,22.1040577476485,23.8899069577129,22.7604545054829,24.8601544587055,22.2392035260627,23.3995404493396,31.3539929368617,24.7928378717994,30.5841026434561,23.9995875567477,24.4412097391472,26.9830627680753,27.0600720958494,24.7886462522373,21.4035675323727,23.6031812076667,20.2318201711406,28.4574971775649,24.326122233983,25.3390023675165,27.0558986248385,27.5076730760987,29.8193924380312,24.8708217126178,24.0687787324219,21.3397761151165,24.7378061772978,23.2268953658771,24.2260648363691,23.0072991556748,23.9897219102905,22.893747607742,19.3132007003513,23.2283665158373,19.5438900236969,18.7276746464043,23.4415767854369,24.9520572333883,19.869550123616,21.2898431319426,23.8014844279439,23.1113133573987,22.7495537331566,25.3890405225963,24.099118946809,23.314164525498,26.4852596124457,21.0759071391267,23.2187158391544,21.7547456448314,25.5186489400186,22.8104590530967,25.4068301656975,25.596656636808,24.1493521353413,22.4066231488744,23.3068796060034,22.4759699725354,23.1263532450883,19.8204212968489,22.2701339764835,18.4775917602076,22.5478150189644,21.9040079578439
16,SK31,snc,20.6828034481797,26.5793440804026,16.5177082655511,25.1953825649666,21.7733434575492,19.9578318922506,21.0723280412407,23.4603511897484,17.2558521056755,23.8493723563246,24.9094770248376,28.8324472887134,19.5533391873245,28.9181804078032,25.4308539911709,25.3473175078288,29.2110380415993,24.9502243471447,21.9750496800527,20.8607139014966,24.8549841995952,26.9824695471453,26.144393329357,31.2503297535578,23.9174122005701,27.6669162885001,25.3744448425202,31.5593742969146,27.2272970800059,20.2691470395768,28.947256430907,28.2642772322834,31.5685758247583,29.197808331636,19.6144210716559,26.0917491635818,23.0556960148007,25.3773900926396,23.1283967147924,22.0604480656939,21.6557038399695,28.7368612427922,25.7557029655707,32.96689500081,29.6972032380452,24.9152951509446,24.9036525288801,23.3199505423397,26.5985027126011,23.7002074359854,31.1961351589174,21.3770594406103,22.5249622102614,28.5826485704085,22.338609740771,23.8020417109452,22.7383477030403,24.9603576279055,22.2905107450386,23.4720481872067,31.3604404576687,24.4125426717655,30.6004429623689,23.7733023811983,24.6626867576761,27.1586016598184,27.1080978178338,24.8877527440418,20.9651570603915,23.5379870377213,20.3276118777764,27.8200019498343,24.4048092469324,25.3506807989095,27.0786044492552,27.6307189401209,29.7713498538252,24.9745278373815,23.9281038609729,21.1619438980904,24.7533436111357,23.0642780405439,24.0504122847934,23.1275802962631,24.1370207756527,22.7901101260996,19.4021809686579,23.0557972488448,19.3005769710669,18.8182390138064,23.3703656223426,25.2219913231155,19.6922276294661,21.9344450238286,23.7445274847324,23.3591106655261,22.6353709040092,25.4099096326911,24.3993296982945,23.5667537165666,26.6199805417945,21.3713217733003,23.2884038551,21.8574551374556,25.9475424096055,22.9834028692044,25.8263045868247,26.0216274120177,24.4452790370311,22.5750990135498,23.3011322507727,22.7300819653478,23.3797000658504,19.9271241928196,22.3648693993347,17.9522291173104,22.5710671454332,22.0642271230513
18,SK32,snc,20.2137057663277,26.4049361223762,15.2680246968105,24.8677610793417,21.4488065249983,19.6697013483765,20.3789920914123,22.9285949070059,15.9426254932008,23.483237286955,24.1554199838551,27.8566528114602,19.6615061252264,28.1438952393661,24.44157082369,24.7340989018569,28.622467542134,24.2089049231943,21.7315865085162,20.8547668610156,24.4132275047017,26.491372386681,26.1547975248462,30.5286382887904,23.8624366437108,26.9670749832921,25.1792469487077,30.8075738864712,27.030477798058,20.202830727192,28.0509709623303,27.7952111290776,31.0177686076859,28.5173296914258,19.7698942469143,26.1503218015366,22.7970029818944,25.1120985480472,22.6998889678521,20.9464782059346,21.4842813622144,28.3911530134417,24.4370624004548,32.5019118216753,29.1008374227128,24.888400561321,25.8011618680917,22.2357690026567,26.6590221161077,23.9250965703067,30.8032629964995,21.9229223834895,22.5475364013926,28.3178788440679,22.6962353256533,23.5570852990797,22.7456341657799,24.9667350975409,22.2037981942929,23.2515612377638,30.892768964931,24.3154556786123,30.2877276713146,22.4681249412186,24.6696897841923,26.7964900684006,27.1234112476956,24.476212164294,21.0633126146886,23.3900283195246,19.0029153806242,28.1369462871984,24.0406834774692,25.5235063957653,27.0660702348371,26.9343824157579,28.635814465815,24.8335349365672,23.5617196206785,20.9413338274269,24.8031963525598,23.158617291016,23.9708643333456,23.3394071793167,24.2241038722001,22.6063049596835,20.0123204748811,22.8310668815065,19.2533237364057,19.7127083935485,23.5813774530244,24.8062194934922,19.7284980123808,21.9933941940203,23.7881761540854,23.0169923973768,22.5062866835966,25.4672596855144,24.8583694160877,23.0892651145598,26.4342343349159,21.3213200952606,23.0797069934874,21.4692236901096,25.8414091084335,22.8007679297497,25.5291947245846,25.8745837017539,24.4117101834893,22.3379988597488,23.0847774607251,22.5368100779291,23.2582881281967,20.6180302508118,22.6121084148661,18.5819832759928,22.9347970395675,21.7413223418436
