rownames,family,father,mother,children,childNum,gender,childHeight
1,001,78.5,67.0,4,1,male,73.2
5,002,75.5,66.5,4,1,male,73.5
9,003,75.0,64.0,2,1,male,71.0
11,004,75.0,64.0,5,1,male,70.5
16,005,75.0,58.5,6,1,male,72.0
23,007,74.0,68.0,6,1,male,76.5
34,011,74.0,62.0,8,1,male,74.0
43,013,73.0,67.0,2,1,male,71.0
45,014,73.0,67.0,2,1,male,68.0
47,015,73.0,66.5,3,1,male,71.0
50,016,73.0,65.0,9,1,male,72.0
59,017,73.0,64.5,6,1,male,74.0
69,020,72.7,69.0,8,1,male,73.2
77,021,72.0,68.0,3,1,male,73.0
80,022,72.0,67.0,3,1,male,73.0
83,023,72.0,65.0,7,1,male,74.2
93,026,72.0,63.0,5,1,male,70.5
98,027,72.0,63.0,3,1,male,69.0
101,028,72.0,63.0,6,1,male,73.0
111,031,72.5,62.0,6,1,male,71.0
117,032,72.0,62.0,5,1,male,74.0
122,033,72.0,62.0,5,1,male,72.0
128,035,71.0,69.0,5,1,male,78.0
133,036,71.0,67.0,4,1,male,73.2
137,037,71.0,66.0,4,1,male,70.0
141,038,71.0,66.0,6,1,male,70.0
147,039,71.0,66.0,2,1,male,71.0
149,040,71.0,66.0,5,1,male,76.0
154,041,71.7,65.5,1,1,male,70.5
155,042,71.0,65.5,6,1,male,72.0
161,043,71.5,65.5,2,1,male,73.0
163,044,71.5,65.0,2,1,male,68.5
165,045,71.0,65.0,3,1,male,68.0
176,047,71.7,64.5,4,1,male,72.0
180,048,71.0,64.0,3,1,male,68.0
183,049,71.5,64.5,7,1,male,72.0
190,050,71.0,64.5,2,1,male,73.0
194,052,71.0,63.5,5,1,male,71.0
199,053,71.0,63.0,9,1,male,71.0
208,054,71.0,63.0,4,1,male,71.0
212,055,71.0,62.0,5,1,male,71.0
217,056,71.0,62.0,5,1,male,72.0
222,057,71.0,62.5,5,1,male,70.0
227,058,71.0,62.0,7,1,male,70.5
235,060,71.0,58.0,2,1,male,71.5
237,061,70.0,69.0,4,1,male,71.0
241,062,70.0,69.0,6,1,male,70.0
247,063,70.0,68.0,1,1,male,75.0
248,064,70.0,67.0,5,1,male,70.0
254,066,70.0,66.5,11,1,male,73.0
265,067,70.5,65.0,4,1,male,72.0
274,069,70.0,65.0,8,1,male,73.0
282,070,70.0,65.0,5,1,male,67.0
287,071,70.0,65.0,6,1,male,70.0
293,072,70.0,65.0,7,1,male,79.0
300,073,70.0,65.0,3,1,male,73.0
303,074,70.0,65.0,2,1,male,69.0
305,075,70.0,64.7,7,1,male,72.0
312,076,70.0,64.0,7,1,male,70.7
319,077,70.0,64.0,4,1,male,70.0
323,078,70.0,64.2,5,1,male,72.0
328,079,70.5,64.0,8,1,male,74.0
337,081,70.0,64.0,4,1,male,68.0
341,082,70.0,64.0,9,1,male,71.0
350,083,70.0,63.7,8,1,male,70.0
358,084,70.5,63.0,4,1,male,70.0
362,085,70.5,63.0,5,1,male,72.5
367,086,70.0,63.5,4,1,male,71.0
371,087,70.0,63.0,4,1,male,68.0
375,088,70.0,63.0,4,1,male,70.0
379,089,70.5,62.0,8,1,male,72.0
387,090,70.3,62.7,7,1,male,70.7
394,091,70.5,62.0,3,1,male,72.0
397,092,70.0,61.0,2,1,male,71.2
399,093,70.0,60.0,4,1,male,67.0
405,095,70.0,58.5,3,1,male,71.5
408,096,70.0,58.0,5,1,male,72.0
413,097,69.0,68.5,10,1,male,75.0
424,099,69.0,66.0,8,1,male,73.0
432,100,69.0,66.0,3,1,male,71.2
435,101,69.0,66.7,4,1,male,75.0
439,102,69.0,66.0,6,1,male,70.0
445,103,69.0,66.5,7,1,male,73.0
452,104,69.5,66.5,4,1,male,70.5
456,105,69.0,66.5,6,1,male,71.0
462,106,69.5,66.0,7,1,male,71.0
469,107,69.0,66.0,9,1,male,73.0
478,108,69.0,65.0,7,1,male,70.0
485,109,69.5,64.5,7,1,male,69.7
492,110,69.2,64.0,4,1,male,71.7
497,112,69.0,63.0,3,1,male,69.0
500,113,69.0,63.0,1,1,male,72.0
501,114,69.0,63.0,6,1,male,73.0
507,115,69.0,63.5,7,1,male,70.5
514,116,69.0,63.5,3,1,male,70.5
518,118,69.5,62.0,3,1,male,73.0
521,119,69.0,62.0,5,1,male,73.0
526,120,69.5,62.0,11,1,male,72.0
537,121,69.0,62.5,8,1,male,71.0
545,122,69.0,62.0,4,1,male,72.0
549,123,69.5,61.0,5,1,male,70.0
554,124,69.0,61.0,9,1,male,68.0
563,125,69.0,60.0,3,1,male,70.5
566,126,69.0,60.0,4,1,male,69.0
570,127,69.0,60.5,1,1,male,69.5
571,128,68.7,70.5,2,1,male,71.0
573,129,68.5,67.0,3,1,male,73.0
576,130,68.5,66.5,11,1,male,70.0
587,131,68.0,65.0,2,1,male,67.5
589,132,68.0,65.5,2,1,male,66.0
