rownames,family,father,mother,children,childNum,gender,childHeight
3,001,78.5,67.0,4,3,female,69.0
7,002,75.5,66.5,4,3,female,65.5
13,004,75.0,64.0,5,3,female,67.0
18,005,75.0,58.5,6,3,male,68.0
25,007,74.0,68.0,6,3,male,73.0
31,008,74.0,66.5,3,3,female,66.0
36,011,74.0,62.0,8,3,female,68.0
49,015,73.0,66.5,3,3,female,66.7
52,016,73.0,65.0,9,3,male,70.2
61,017,73.0,64.5,6,3,male,71.5
67,018,73.0,64.0,3,3,female,64.0
71,020,72.7,69.0,8,3,male,72.7
79,021,72.0,68.0,3,3,female,68.0
82,022,72.0,67.0,3,3,female,67.0
85,023,72.0,65.0,7,3,male,69.5
95,026,72.0,63.0,5,3,male,69.0
100,027,72.0,63.0,3,3,female,63.0
103,028,72.0,63.0,6,3,female,70.5
109,029,72.5,63.5,3,3,female,66.7
113,031,72.5,62.0,6,3,male,70.0
119,032,72.0,62.0,5,3,male,69.0
124,033,72.0,62.0,5,3,male,71.5
130,035,71.0,69.0,5,3,male,73.0
135,036,71.0,67.0,4,3,male,69.0
139,037,71.0,66.0,4,3,female,67.0
143,038,71.0,66.0,6,3,male,68.5
151,040,71.0,66.0,5,3,male,71.0
157,042,71.0,65.5,6,3,male,71.0
167,045,71.0,65.0,3,3,female,62.0
170,046,71.0,64.0,8,3,female,67.5
178,047,71.7,64.5,4,3,male,70.5
182,048,71.0,64.0,3,3,male,68.0
185,049,71.5,64.5,7,3,male,70.0
196,052,71.0,63.5,5,3,female,66.0
201,053,71.0,63.0,9,3,male,70.0
210,054,71.0,63.0,4,3,male,70.0
214,055,71.0,62.0,5,3,female,64.5
219,056,71.0,62.0,5,3,male,70.5
224,057,71.0,62.5,5,3,female,64.0
229,058,71.0,62.0,7,3,male,69.0
239,061,70.0,69.0,4,3,male,69.0
243,062,70.0,69.0,6,3,female,68.0
250,064,70.0,67.0,5,3,female,66.0
256,066,70.0,66.5,11,3,male,72.0
267,067,70.5,65.0,4,3,male,69.0
271,068,70.5,65.0,5,3,female,61.5
276,069,70.0,65.0,8,3,male,70.5
284,070,70.0,65.0,5,3,female,64.5
289,071,70.0,65.0,6,3,female,67.0
295,072,70.0,65.0,7,3,male,71.0
302,073,70.0,65.0,3,3,female,65.0
307,075,70.0,64.7,7,3,male,68.7
314,076,70.0,64.0,7,3,male,68.0
