,feature 1,feature 2,group
1,119806.0,14684.0,age >90
2,115999.0,17166.0,age >90
3,113374.0,14224.0,age >90
4,150585.0,13187.0,age >90
5,402859.0,15701.0,age >90
6,65719.0,12874.0,age >90
7,165717.0,13076.0,age >90
8,81728.0,8893.0,age >90
9,988378.0,8797.0,age >90
10,400965.0,15210.0,age >90
11,125449.0,10394.0,age >90
12,100726.0,9873.0,age >90
13,90418.0,10587.0,age >90
14,415922.0,8691.0,age >90
15,760926.0,10303.0,age >90
16,214268.0,5981.0,age >90
17,352044.0,18776.0,age >90
18,99755.0,8931.0,age >90
19,777094.0,9136.0,age >90
20,65728.0,21206.0,age >90
21,174869.0,5930.0,age >90
22,346021.0,1590.0,age >90
23,175152.0,5650.0,age >90
24,445597.0,9742.0,age >90
25,252634.0,17885.0,age >90
26,516308.0,9120.0,age >90
27,218284.0,12177.0,age >90
28,214078.0,11315.0,age >90
29,262582.0,12813.0,age >90
30,842569.0,8059.0,age >90
31,120956.0,19388.0,age >90
32,53318.0,22062.0,age >90
33,886495.0,9170.0,age >90
34,280425.0,17567.0,age >90
35,18122.0,6310.0,age >90
36,1365054.0,6539.0,age >90
37,822855.0,6529.0,age >90
38,110407.0,10040.0,age >90
39,288307.0,12379.0,age >90
40,337934.0,8027.0,age >90
41,211494.0,8664.0,age >90
42,431270.0,9868.0,age >90
43,46471.0,8536.0,age >90
44,66894.0,9820.0,age >90
45,130065.0,11527.0,age >90
46,1165794.0,9583.0,age >90
47,262282.0,5424.0,age >90
48,105986.0,8359.0,age >90
49,238502.0,9091.0,age >90
50,591733.0,7685.0,age >90
51,1159984.0,15388.0,age >90
52,123232.0,8614.0,age >90
53,2439759.0,1604.0,age >90
54,284583.0,10364.0,age >90
55,101742.0,14462.0,age >90
56,228072.0,14723.0,age >90
57,2434774.0,14966.0,age >90
58,466013.0,6107.0,age >90
59,84954.0,9283.0,age >90
60,223191.0,9736.0,age >90
61,132271.0,15708.0,age >90
62,136827.0,11057.0,age >90
63,88743.0,17067.0,age >90
64,95602.0,11534.0,age >90
65,138689.0,8888.0,age >90
66,149538.0,6005.0,age >90
67,312699.0,9368.0,age >90
68,213549.0,11208.0,age >90
69,404821.0,10161.0,age >90
70,231802.0,13989.0,age >90
71,95811.0,6638.0,age >90
72,1784985.0,7448.0,age >90
73,67444.0,10929.0,age >90
74,147498.0,10106.0,age >90
