,Class,Lipid,"log2 Fold-Change, brain region 1","log2 Fold-Change, blood plasma",color
0,FA,FA 18:1,0.0450686099281903,0.671508087528306,palegoldenrod
1,FA,FA 20:4,0.0563409791625702,0.51515171929692,palegoldenrod
2,FA,FA 20:3,0.344837828996225,0.627563201113507,palegoldenrod
3,FA,FA 22:6,-0.0529814551926187,0.638968689137744,palegoldenrod
4,FA,FA 22:5,0.244153106210945,0.499099542478678,palegoldenrod
5,FA,FA 22:4,0.0592506914880744,0.820794614184173,palegoldenrod
6,LPE,LPE 16:0,0.0364029876007486,-0.115160830811217,#ffe119
7,LPE,LPE 18:1,0.241622165929133,-0.401125901003336,#ffe119
8,LPE,LPE 18:0,0.181101266852874,-0.118029985880742,#ffe119
9,LPE,LPE 20:4,0.0911680624335247,-0.379172646771135,#ffe119
10,PE,PE 34:2,0.00537889885864828,-0.244425477776826,#4363d8
11,PE,PE 34:1,-0.0903771364906554,-0.271489409431386,#4363d8
12,SM,SM 32:1;O2,0.0771852635194143,-0.279252344396369,green
13,PE O-,PE O-36:5,-0.037477792959649,-0.0420491578841897,#e6beff
14,PE O-,PE O-36:4,-0.261012366062577,-0.230337750862205,#e6beff
15,PE O-,PE O-37:5,-0.0805533634915321,-0.0498778626663352,#e6beff
16,PE,PE 36:4,-0.00859581014927713,-0.155644301072538,#4363d8
17,PE,PE 36:3,-0.119472383426736,0.0923470140809357,#4363d8
18,PE,PE 36:2,0.116680415654553,-0.215895217483212,#4363d8
19,SM,SM 34:2;O2,-0.0192936851266516,0.0022050806338072,green
20,SM,SM 34:1;O2,-0.00547647169105403,0.0283189354835258,green
21,PE O-,PE O-38:6,0.120298941335477,0.0177646221690928,#e6beff
22,PC,PC 30:0,-0.0666295857642716,-0.309507331655567,#f032e6
23,PE,PE 38:6,-0.115899034058597,-0.106628516514213,#4363d8
24,PC O-,PC O-32:1,-0.0475258784000587,0.0114061598349515,#bfef45
25,PE,PE 38:5,0.13706148908302,-0.25785218020928,#4363d8
26,PC,PC 31:0,-0.0778448942501981,-0.126089449354645,#f032e6
27,PE,PE 38:4,-0.0778623085023398,-0.211359167781755,#4363d8
28,SM,SM 36:2;O2,-0.0295349642026466,-0.0770478003084456,green
29,PC,PC 32:2,-0.270379820280603,-0.430223347842837,#f032e6
30,SM,SM 36:1;O2,-0.134919595717907,0.0512022667173113,green
31,PC,PC 32:1,0.0379087354514098,-0.404302966931482,#f032e6
32,PC,PC 32:0,-0.0839698692719892,0.0309641624494787,#f032e6
