,Class,Lipid,"log2 Fold-Change, brain region 1","log2 Fold-Change, brain region 2",color
0,FA,FA 18:1,0.0450686099281903,0.239421095174624,palegoldenrod
1,FA,FA 18:0,-0.139287943734686,0.136258339583772,palegoldenrod
2,FA,FA 20:4,0.0563409791625702,0.164957692020831,palegoldenrod
3,FA,FA 20:3,0.344837828996225,0.45684329247063,palegoldenrod
4,FA,FA 22:6,-0.0529814551926187,0.123263044263449,palegoldenrod
5,FA,FA 22:5,0.244153106210945,0.332506235156924,palegoldenrod
6,FA,FA 22:4,0.0592506914880744,0.152217438965309,palegoldenrod
7,LPE O-,LPE O-16:1,0.121947023518999,0.0105664719655323,hotpink
8,LPE,LPE 16:0,0.0364029876007486,0.165158330801269,#ffe119
9,LPE O-,LPE O-18:2,0.272597707878276,0.156891639049011,hotpink
10,LPE O-,LPE O-18:1,0.0386539508673387,0.0314654285827167,hotpink
11,LPE,LPE 18:1,0.241622165929133,0.275646541738247,#ffe119
12,LPE,LPE 18:1,0.162678254404604,0.359282901531742,#ffe119
13,LPE,LPE 18:0,0.181101266852874,0.0384662048533357,#ffe119
14,LPE,LPE 18:0,-0.00498495442252178,0.120508308959504,#ffe119
15,LPE,LPE 20:4,0.0911680624335247,0.179806507460555,#ffe119
16,LPE,LPE 20:3,0.345105076828311,0.074130759246902,#ffe119
17,LPE,LPE 20:1,0.518562713455431,0.397229976558471,#ffe119
18,LPE,LPE 22:6,-0.00508069915755982,0.143403109735655,#ffe119
19,LPE,LPE 22:5,0.338621515392486,0.385584891651494,#ffe119
20,LPE,LPE 22:4,0.0805513128524495,0.222781016355103,#ffe119
21,LPE,LPE 24:4,0.115887831121942,0.0427688412798055,#ffe119
22,PE,PE 32:1|PE 16:0_16:1,0.0273191799095045,0.207008872120724,#4363d8
23,PE O-,PE O-34:3|PE O-18:2_16:1,0.046822348931876,0.0501386157372288,#e6beff
24,PE O-,PE O-34:2|PE O-16:1_18:1,0.0253468904794119,-0.0360613943492467,#e6beff
25,PE O-,PE O-34:1|PE O-18:1_16:0,-0.129580897271286,-0.0621859709847357,#e6beff
26,PE O-,PE O-34:1|PE O-16:0_18:1,-0.235996765377021,-0.156723244656785,#e6beff
